,title,year,month,journal,code,weight,code_label,id,gen_code
290,Cyber toy story,1997,Aug,Newsweek,5,6.67,irrelevant,292,1
291,Dangerously dependent,2004,Feb,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),293,1
292,Day of the Dead.,2011,Jul,Time,5,6.67,irrelevant,294,0
293,Dealing with a bad hand?,1994,Oct,U.S. News & World Report,5,10.0,irrelevant,295,0
294,Debunking the digital divide,2002,Mar,Newsweek,1,1.0,"relinequality, explicit",296,1
295,Deflation Nation,2010,Jul,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),297,1
296,Demographics Demand Change,2010,Oct,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),298,1
297,Deng Strikes Back,1989,Jun,Newsweek,5,10.0,irrelevant,299,0
298,Dereliction of duty,2004,Jun,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",300,0
299,Despair and Death In a Beijing Square,1989,Jun,Time,5,10.0,irrelevant,301,0
300,Detroit molds a contract,1984,Oct,Newsweek,2,6.67,"relinequality, implicit",302,1
301,"Dick Gephardt, unilateralist",2001,Sep,Newsweek,5,6.67,irrelevant,303,1
302,Did the Military Ignore Warnings?,2004,Nov,Newsweek,5,10.0,irrelevant,304,1
303,Dip in jobless passes milestone,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",305,1
304,Diversity Is Essential . . .,2003,Jan,Newsweek,5,6.67,irrelevant,306,1
305,Divided We Eat,2010,Nov,Newsweek,1,1.0,"relinequality, explicit",307,1
306,Divided we fail,1989,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),308,0
307,Divisions in the ranks,1983,Aug,Newsweek,5,6.67,irrelevant,309,1
308,Divorce: From Bad To Worse,2003,Jul,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),310,1
309,Do price boosts signal surge in inflation?,1983,Sep,U.S. News & World Report,2,6.67,"relinequality, implicit",311,1
310,Do they mean what they say?,2000,Aug,Time,1,6.67,"relinequality, explicit",312,0
311,Doctors' cure,1992,Sep,Time,5,6.67,irrelevant,313,0
312,Don't Hold Your Breath.,2011,Jun,Time,1,6.67,"relinequality, explicit",314,0
313,Don't blow the surplus,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",315,1
314,Don't get hit by taxes,1998,Nov,Newsweek v. 132 no. 22 (November 30 1998) p. 86+,3,6.67,relchanges (income/wages/earnings/etc.),316,1
315,Don't steal this column!,1997,Mar,U.S. News & World Report,5,6.67,irrelevant,317,0
316,Don't tread on my data: protecting individual privacy in the information age,1987,Jul,Time,5,6.67,irrelevant,318,1
317,Double-Dipping into the Past,2010,Aug,Time,3,6.67,relchanges (income/wages/earnings/etc.),319,0
318,Doubts about data,1992,Dec,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),320,1
319,Down with dictatorship',1987,Jun,Time,5,6.67,irrelevant,321,0
320,Down-sizing for growth,1996,Mar,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),322,1
321,Drawing Down Iraq,2005,Aug,Newsweek,5,10.0,irrelevant,323,1
322,"Dreaming a Dream in Red, White, and Blue",2006,Apr,U.S. News & World Report,5,6.67,irrelevant,324,0
323,"Dreams, myths and reality",1988,Jul,U.S. News & World Report,1,1.0,"relinequality, explicit",325,1
324,Drowning in data,1997,Apr,Newsweek,5,6.67,irrelevant,326,0
325,Dubya's dance with the right,2000,Mar,Time,5,6.67,irrelevant,327,0
326,EXTREME COUPONING.,2011,Oct,Time,4,6.67,"releconomy (employment, economy)",328,1
327,Easing pains,1983,May,Time,5,6.67,irrelevant,329,0
328,Easing the sting,2003,Jan,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),330,1
329,Easy reading at tax time,1994,Mar,Newsweek,5,6.67,irrelevant,331,0
330,"Eating humble pie, making lots of bread",1992,Apr,U.S. News & World Report,1,10.0,"relinequality, explicit",332,1
331,Economic Sanctions Against South Africa,1985,Feb,U.S. News & World Report,5,10.0,irrelevant,333,0
332,Election impact on business,1980,Nov,U.S. News & World Report,2,6.67,"relinequality, implicit",334,0
333,Eliminating inflation won't help the economy,1991,Aug,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),335,1
334,Embracing the Unloved,2008,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",336,0
335,Endgame for Affirmative Action,1995,Mar,U.S. News & World Report,5,10.0,irrelevant,337,0
336,Energy to Burn,2007,Mar,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",338,0
337,Enjoy the Climb,2003,Apr,Time,3,10.0,relchanges (income/wages/earnings/etc.),339,1
338,Enron and fuzzy math,2002,Feb,Newsweek,2,10.0,"relinequality, implicit",340,0
339,Entitlement Myths,2009,Feb,Time,3,6.67,relchanges (income/wages/earnings/etc.),341,1
340,Estate-tax changes,1981,Aug,U.S. News & World Report,5,6.67,irrelevant,342,0
341,Europe Vs. Reaganomics,1982,Mar,Newsweek,4,10.0,"releconomy (employment, economy)",343,0
342,European labor in retreat,1985,Mar,Time,5,6.67,irrelevant,344,0
343,Exile on mail street,2000,Oct,Time,1,1.0,"relinequality, explicit",345,1
344,Exit Bill Clinton with one last mess,2001,Feb,U.S. News & World Report,5,6.67,irrelevant,346,0
345,Facebook Won't Save Us.,2012,Aug,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),347,0
346,Facing Red Ink in the States,2008,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",348,1
347,Fairness Demands Secret Votes,2009,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),349,0
348,Fairness for the middle class,1985,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",350,1
349,Faith in the System,2010,Jun,Time,5,6.67,irrelevant,351,1
350,Families Ask Why,2003,Aug,Newsweek,5,10.0,irrelevant,352,1
351,Family planning,1987,Dec,U.S. News & World Report,5,6.67,irrelevant,353,0
352,Family-Unfriendly Policies,2007,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",354,0
353,Fat Fees and Smoker Surcharges,2009,Nov,Time,3,6.67,relchanges (income/wages/earnings/etc.),355,1
354,Fat-Cat Football.,2011,Jan,Time,5,6.67,irrelevant,356,0
355,Fatigue on the right,1995,Oct,U.S. News & World Report,5,6.67,irrelevant,357,1
356,Federal Taxes State by State,1982,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),358,0
357,"Feeling Lucky, Punk?",2002,Sep,Newsweek,5,6.67,irrelevant,359,1
358,Fewer hands at work,1991,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",360,0
359,Fighting the inflation crisis,1980,Mar,Newsweek,1,6.67,"relinequality, explicit",361,0
360,Fighting the paper chase,1981,Nov,Time,5,6.67,irrelevant,362,0
361,"Fill 'Er Up with No-Fault, Please",1989,Feb,Time,1,10.0,"relinequality, explicit",363,1
362,"Finally, a reason to buy bons",1988,Sep,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),364,1
363,Financial Aid for the Rich,2007,Nov,U.S. News & World Report,1,6.67,"relinequality, explicit",365,1
364,Finding Income In Retirement,2005,Jun,U.S. News & World Report,2,10.0,"relinequality, implicit",366,1
365,Finding Second Home Bargains,2010,Oct,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),367,1
366,Finding Work,2003,Feb,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",368,0
367,Finding a fast track for the economy,1992,Dec,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),369,0
368,Finding her own Calcutta,2001,Jan,Time,5,6.67,irrelevant,370,0
369,"First Things First, Mr. President",2008,Dec,Newsweek,2,6.67,"relinequality, implicit",371,0
370,First ask your boss to pay you back,1990,Nov,U.S. News & World Report,5,6.67,irrelevant,372,0
371,"First freedom, then jobs",1996,Aug,U.S. News & World Report,5,6.67,irrelevant,373,1
372,Flying South for the Winter,2006,Sep,Time,5,6.67,irrelevant,374,1
373,For a Fairer America,2006,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",375,1
374,"For unions, another crack at public employes",1983,Nov,U.S. News & World Report v. 95 (November 7 1983) p. 89-90,2,6.67,"relinequality, implicit",376,1
375,Four on the Floor,2005,May,Newsweek,5,6.67,irrelevant,377,0
376,Free-Lance Nation: Why Temping Is Permanent,2003,Nov,Time,2,6.67,"relinequality, implicit",378,1
377,"From Vietnam to now, two wrenching decades",1986,Mar,U.S. News & World Report v. 100 (March 31 1986) p. 42-3,4,6.67,"releconomy (employment, economy)",379,1
378,From Woodshed to Firing Line,1982,Feb,Time,4,10.0,"releconomy (employment, economy)",380,1
379,From colds to cancer therapy: tending migrant workers,1981,Jan,U.S. News & World Report,5,6.67,irrelevant,381,0
380,From pillow talk to money talk,1988,Aug,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),382,1
381,Front Page vs. Bottom Line,1990,Sep,Time,1,10.0,"relinequality, explicit",383,1
382,Frugal Forever?,2009,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",384,0
383,Fundamentally Strong,2008,Oct,Time,3,6.67,relchanges (income/wages/earnings/etc.),385,1
384,"G.O.P. Woes: It's Not the Economy, Stupid",2007,Feb,Time,5,6.67,irrelevant,386,1
385,Gainful Employment,2007,Oct,Time,5,6.67,irrelevant,387,1
386,Gentle Ben,2006,Jul,Time,3,6.67,relchanges (income/wages/earnings/etc.),388,1
387,Georgia's populist of the right,1984,Dec,Newsweek,5,6.67,irrelevant,389,1
388,Get Immigration Right,2005,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),390,0
389,Getting Business off the dole,1995,Apr,U.S. News & World Report,1,10.0,"relinequality, explicit",391,0
390,Getting Offensive,2003,Dec,U.S. News & World Report,5,10.0,irrelevant,392,0
391,Getting Ready for a Federal Fire Sale,1986,Feb,Newsweek,4,10.0,"releconomy (employment, economy)",393,1
392,Getting an early jump on coming tax changes,1985,Dec,U.S. News & World Report,5,6.67,irrelevant,394,0
393,Getting down to business,1992,Sep,Time,1,6.67,"relinequality, explicit",395,1
394,Getting real,1996,Jan,Newsweek,1,10.0,"relinequality, explicit",396,1
395,"Getting to know you, part 2",1989,May,Time,5,6.67,irrelevant,397,0
396,Girding for a pink slip,1991,Jan,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),398,0
397,"Give me your smart, your skilled . . .",1990,Dec,Newsweek,1,6.67,"relinequality, explicit",399,0
398,"Give me your tired, your poor . . .",1998,Feb,Time,5,6.67,irrelevant,400,1
399,Give the speaker a break:,1997,Sep,U.S. News & World Report,2,6.67,"relinequality, implicit",401,0
400,"Give us your wired, your highly skilled: tech firms are winning the battle of the visas",1998,Oct,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),402,0
401,Giving peace a chance,1982,Jun,Newsweek,5,6.67,irrelevant,403,1
402,God and managers at Yale,1988,Nov,Newsweek,5,6.67,irrelevant,404,0
403,God bless the lobster,1984,Jul,Newsweek,5,6.67,irrelevant,405,0
404,"God help us, every one!",1984,Dec,Newsweek,5,6.67,irrelevant,406,1
405,Going After The Deficit,1985,Oct,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),407,1
406,Going To The Chapel,2002,Jun,Time,5,6.67,irrelevant,408,1
407,Going for it,1985,Jun,Time,1,6.67,"relinequality, explicit",409,0
408,Good Intentions Gone Bad,2005,Jun,Newsweek,5,10.0,irrelevant,410,0
409,"Good Luck, Chuck.",2011,,"Newsweek; October 31 2011, Vol. 158 Issue 18, p17-17, 1p",2,1.0,"relinequality, implicit",411,1
410,Good news ahead on inflation,1989,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),412,0
411,Government gets tough,1981,Jan,Time,5,6.67,irrelevant,413,1
412,Grappling with diversity,1997,Sep,U.S. News & World Report,5,6.67,irrelevant,414,1
413,Great ripoff in unemployment pay,1981,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",415,0
414,Gumming up the works,1993,Nov,Time,5,6.67,irrelevant,416,1
415,Happiness: how Americans pursue it,1985,Mar,U.S. News & World Report,5,6.67,irrelevant,417,1
416,Hard going for the easy part,1995,Jan,Time,2,10.0,"relinequality, implicit",418,0
417,Hard times in the heartland,1981,Dec,Time,2,6.67,"relinequality, implicit",419,0
418,Harry and Louise Strike Again,2008,May,U.S. News & World Report,5,6.67,irrelevant,420,1
419,Has The War Made Us Safer?,2004,Apr,Newsweek,5,10.0,irrelevant,421,1
420,Has Walesa been dumped?,1983,Jul,Newsweek,5,6.67,irrelevant,422,1
421,Has Your Life Become Too Much A Game of Chance?,2004,Feb,Time,1,1.0,"relinequality, explicit",423,1
422,"Have Contacts, Will Cash In",1990,Feb,Newsweek,5,10.0,irrelevant,424,1
423,"Have Law Degree, Will Travel",1989,Dec,Time,3,10.0,relchanges (income/wages/earnings/etc.),425,1
424,Have job prospects started to wilt?,1995,May,U.S. News & World Report,2,6.67,"relinequality, implicit",426,1
425,He Got What He Wanted,1981,Jul,Time,2,10.0,"relinequality, implicit",427,0
426,Health care fraud,1992,Feb,U.S. News & World Report,5,6.67,irrelevant,428,0
427,Healthy inequality,1996,Oct,Newsweek,1,1.0,"relinequality, explicit",429,1
428,Heckler in chief,1993,Mar,Time,4,6.67,"releconomy (employment, economy)",430,1
429,Hedging against inflation,1980,Apr,Newsweek v. 95 (April 28 1980) p. 72,3,6.67,relchanges (income/wages/earnings/etc.),431,0
430,Here Comes Default Line,1996,Jan,Time,4,10.0,"releconomy (employment, economy)",432,0
431,Here's to the Little People,2003,Feb,Newsweek,1,6.67,"relinequality, explicit",433,1
432,Hiding from health costs,1984,May,Newsweek,5,6.67,irrelevant,434,1
433,"High tax, hot cigs",2002,Nov,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),435,1
434,High tech's fickle helping hand,1989,Dec,Time,4,6.67,"releconomy (employment, economy)",436,1
435,High-technology lip service,1988,Dec,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",437,1
436,Higher taxes? Who would pay,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",438,0
437,Hit by the tax-rate hike? You can delay some of the pain,1994,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),439,1
438,Hitting the Economy,2005,Sep,Newsweek,5,6.67,irrelevant,440,1
439,Hold off on the reunion party,1997,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),441,1
440,Holding Dollars Hostage,2010,Nov,Newsweek,1,6.67,"relinequality, explicit",442,0
441,Holding the Line,2004,Feb,Newsweek,5,10.0,irrelevant,443,0
442,Hollywood's new hard line,1988,Aug,Newsweek,5,6.67,irrelevant,444,0
443,Home Ownership,1987,Dec,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),445,1
444,Home is where the job is,1987,Aug,U.S. News & World Report,5,6.67,irrelevant,446,0
445,Home on the range,2002,May,U.S. News & World Report,2,6.67,"relinequality, implicit",447,0
446,Hope and desperation,1988,May,Newsweek,5,6.67,irrelevant,448,0
447,Hope is on the way.,2012,Apr,Time,5,6.67,irrelevant,449,1
448,Hoping for More Market Magic,1989,Feb,Newsweek,2,10.0,"relinequality, implicit",450,1
449,Hot enough for you?,2003,Nov,U.S. News & World Report,2,6.67,"relinequality, implicit",451,0
450,Hot time in Gucci Gulch,2001,Feb,Newsweek,5,6.67,irrelevant,452,1
451,House of Cards,1992,Apr,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",453,0
452,How America has run out of time,1989,Apr,Time,1,6.67,"relinequality, explicit",454,1
453,How CEO pay got away,1997,Mar,Time,1,10.0,"relinequality, explicit",455,1
454,How His Legacy Lives On,2004,Jun,Time,5,6.67,irrelevant,456,0
455,How Long Will America Lead the World?,2006,Jun,"Newsweek v. 147 no. 24 (June 12 2006) p. 40-2, 44-5",3,6.67,relchanges (income/wages/earnings/etc.),457,1
456,How Reagan rates now in his hometown,1982,Sep,U.S. News & World Report v. 93 (September 20 1982) p. 22,1,6.67,"relinequality, explicit",458,0
457,How Rehnquist Changed America,2003,Jun,Time,5,6.67,irrelevant,459,0
458,How Rich got off the hook,2001,Feb,Time,5,6.67,irrelevant,460,1
459,How Russia steals U.S. defense secrets,1981,May,U.S. News & World Report,5,6.67,irrelevant,461,0
460,How We Work Now,1999,Feb,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),462,0
461,How a Pro Thinks About Investing in New Markets,2007,Oct,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),463,0
462,How can we miss you if you never go away?,2001,Feb,Time,5,6.67,irrelevant,464,1
463,How computers change lives,1982,Aug,Newsweek,5,6.67,irrelevant,465,0
464,How families cope when jobs disappear,1980,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",466,1
465,How fast should we grow?,1996,Jul,Time,2,6.67,"relinequality, implicit",467,0
466,How flat is flat?,1982,Aug,Newsweek,1,6.67,"relinequality, explicit",468,0
467,How low should they go?,1996,Apr,Newsweek,5,6.67,irrelevant,469,1
468,How much should we be paid?,1993,Nov,Newsweek,1,1.0,"relinequality, explicit",470,0
469,How the Cuts Help,1981,Aug,Newsweek,1,10.0,"relinequality, explicit",471,1
470,How the Next President Should Fix the Economy,2008,May,Time,1,6.67,"relinequality, explicit",472,0
471,How the dollar has shrunk in the 20th century,1983,Feb,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",473,0
472,How the newest rules can work for you,1988,May,U.S. News & World Report,1,6.67,"relinequality, explicit",474,1
473,How to Fix a Market Failure,2008,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),475,0
474,How to Gain From the Economy's Pain.,2011,Aug,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),476,1
475,How to Grab the Voters,1996,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),477,1
476,How to Make the Victory Stick,2003,Apr,Time,5,6.67,irrelevant,478,1
477,"How to fix ""A Budget Out of Control""",1982,Jul,U.S. News & World Report,1,10.0,"relinequality, explicit",479,1
478,How to get the country moving again: advice from six Nobel Prize economists,1983,Jan,U.S. News & World Report,1,6.67,"relinequality, explicit",480,1
479,How to win big in Brazil: psyching out inflation,1986,Jun,U.S. News & World Report,5,6.67,irrelevant,481,1
480,How tough is Greenspan?,1987,Jun,Newsweek,4,6.67,"releconomy (employment, economy)",482,1
481,How work force is being transformed,1982,Apr,U.S. News & World Report,1,6.67,"relinequality, explicit",483,1
482,How you can track the U.S. economy,1981,Dec,U.S. News & World Report,5,6.67,irrelevant,484,1
483,I Lift My Lamp É Beside the Golden Gate.,2012,Jul,Time,4,6.67,"releconomy (employment, economy)",485,1
484,I Met Bin Laden,2003,Oct,Newsweek,5,10.0,irrelevant,486,0
485,I Still Have Nightmares',1991,Sep,Newsweek,5,10.0,irrelevant,487,0
486,I [Love] Government.,2011,Sep,Newsweek,2,6.67,"relinequality, implicit",488,0
487,I was good and he was evil,1993,Jun,Newsweek,5,10.0,irrelevant,489,0
488,"I'm a Conservative, But I'm Not a Hatemonger",2002,Oct,Newsweek,5,6.67,irrelevant,490,1
489,I'm a cardless person,1980,May,Time,3,6.67,relchanges (income/wages/earnings/etc.),491,1
490,IRS takes on multinational companies,1983,Oct,U.S. News & World Report,5,6.67,irrelevant,492,1
491,Idea factories of the right,1980,Dec,Newsweek,5,6.67,irrelevant,493,0
492,If Obama Wins,2008,Nov,Time,4,6.67,"releconomy (employment, economy)",494,1
493,If You Think Taxes Are High in U.S.,1984,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),495,1
494,If all the world's a computer . . .,2000,Jan,Newsweek,5,6.67,irrelevant,496,1
495,If inflation kills the bull,1998,Aug,Newsweek v. 132 no. 6 (August 10 1998) p. 67+,2,6.67,"relinequality, implicit",497,1
496,If the Gobbledygook Confuses You,1983,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),498,0
497,"If you lose money, are you in business?",1995,Jul,U.S. News & World Report,5,6.67,irrelevant,499,1
498,Ignorance and inequality,1992,Jun,U.S. News & World Report,1,1.0,"relinequality, explicit",500,0
499,Images,1981,Jan,Time,5,6.67,irrelevant,501,0
500,"In Congress, Iraq Is A Political Quagmire",2007,Mar,U.S. News & World Report,5,10.0,irrelevant,502,0
501,In Defense of the Free Market,2008,Nov,U.S. News & World Report v. 145 no. 11 (November 17-24 2008) p. 60,4,6.67,"releconomy (employment, economy)",503,1
502,"In Iraq, in uniform, an in turmoil",2003,Oct,U.S. News & World Report,5,10.0,irrelevant,504,1
503,"In Russia, shortage of workers is the problem",1983,Jul,U.S. News & World Report,5,6.67,irrelevant,505,1
504,In The Tanks For The Democrats,2007,Apr,U.S. News & World Report,5,6.67,irrelevant,506,1
505,In prospect: tax cut to fight recession,1980,May,U.S. News & World Report,2,6.67,"relinequality, implicit",507,0
506,"In rural Oregon, The grapes of wrath, again",1988,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),508,1
507,"In the Short Term, Good News.",2011,May,Time,4,6.67,"releconomy (employment, economy)",509,1
508,In the school of democracy,1989,Oct,Time,5,6.67,irrelevant,510,1
509,Indifferent to inequality?,2001,May,Newsweek,1,1.0,"relinequality, explicit",511,1
510,Inflation and taxes,1983,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",512,1
511,Inflation crisis,1984,Nov,Time,5,6.67,irrelevant,513,0
512,Inflation gets nailed: America's slow wage growth has hammered away at prices,1994,May,U.S. News & World Report,2,6.67,"relinequality, implicit",514,1
513,Inflation makes the gardens grow,1980,Mar,U.S. News & World Report v. 88 (March 10 1980) p. 70-1,4,6.67,"releconomy (employment, economy)",515,1
514,Inflation slowdown is bad news for some,1982,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",516,0
515,Inflation's painful slowdown,1982,Mar,Time v. 119 (March 29 1982) p. 46-7+,2,6.67,"relinequality, implicit",517,0
516,Inflation: 'clear for takeoff',1989,Mar,Newsweek,2,6.67,"relinequality, implicit",518,1
517,Inflation: fingers in the dike,1980,Mar,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),519,1
518,Inflation: turning point?,1981,Dec,Newsweek,2,6.67,"relinequality, implicit",520,1
519,Inidia Puppies and Consumer Boomers,1989,Nov,Time,5,10.0,irrelevant,521,1
520,Interest Groups Fight Back,1984,Dec,U.S. News & World Report,2,10.0,"relinequality, implicit",522,1
521,Interpreting the new moderation,1982,Nov,Time,1,6.67,"relinequality, explicit",523,0
522,Iraq's Catch-22,2004,Dec,U.S. News & World Report,5,6.67,irrelevant,524,0
523,Is 2010 the Year of Avoiding Taxes?,2010,Mar,U.S. News & World Report,1,6.67,"relinequality, explicit",525,1
524,Is America Losing At Globalization?,2008,Sep,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),526,1
525,Is America working smarter?,1989,Jan,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),527,1
526,Is Baghdad Ready for the U.S. to Start Leaving?,2008,Dec,U.S. News & World Report,5,10.0,irrelevant,528,1
527,Is Housing a New Bubble?,2004,Apr,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),529,1
528,Is Iran Provoking the Unrest?,2004,Apr,Time,5,10.0,irrelevant,530,0
529,Is Reagan not a Reaganite?,1981,Jan,Newsweek,5,6.67,irrelevant,531,0
530,Is Wall Street right?,1987,Oct,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),532,1
531,Is a tax cut the right remedy?,2001,Jan,Time,3,6.67,relchanges (income/wages/earnings/etc.),533,1
532,Is middle class really doomed to shrivel away?,1984,Aug,U.S. News & World Report,1,1.0,"relinequality, explicit",534,1
533,Is the rally real?,2003,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),535,1
534,Is this the right medicine?,2001,Feb,Newsweek,1,6.67,"relinequality, explicit",536,1
535,It taught boycotts. Now it faces one,2001,Nov,Time,5,6.67,irrelevant,537,1
536,"It's Always the Economy, Stupid",2010,Jul,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),538,0
537,It's Bad to Be the King,2006,May,Time,5,6.67,irrelevant,539,1
538,"It's Rubin, stupid",1997,Jun,Newsweek,1,6.67,"relinequality, explicit",540,1
539,"It's The Weather, Stupid",2012,Apr,Newsweek,4,6.67,"releconomy (employment, economy)",541,1
540,It's a new economic landscape now,1986,Sep,U.S. News & World Report,2,6.67,"relinequality, implicit",542,1
541,It's all a confidence game,1992,Jan,Time,2,6.67,"relinequality, implicit",543,1
542,It's in the numbers: business is slow,1993,May,Time,4,6.67,"releconomy (employment, economy)",544,0
543,It's still the economy,1994,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",545,0
544,Jack's Toughest Deal,2002,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),546,1
545,Japan's bow of contrition,1987,Jul,Newsweek,5,6.67,irrelevant,547,0
546,"Japan's down, Citibank's Up",1998,Sep,U.S. News & World Report,5,10.0,irrelevant,548,1
547,"Jesus saves, you invest",1998,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),549,1
548,Job Tide Lifts Some States' Boats.,2011,Sep,Time,4,6.67,"releconomy (employment, economy)",550,0
549,Jobless pay takes work,2001,Nov,U.S. News & World Report,1,6.67,"relinequality, explicit",551,0
550,"Jobless rates, state by state",1983,Jun,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",552,1
551,Joblessness is Here to Stay,2009,Dec,Newsweek,1,6.67,"relinequality, explicit",553,1
552,Jobs are on the Way!,2009,Dec,Newsweek,1,6.67,"relinequality, explicit",554,1
553,Jobs: a million that will never come back,1982,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",555,0
554,Jobs: putting America back to work,1982,Oct,Newsweek,1,6.67,"relinequality, explicit",556,0
555,Jobs: the haves and have-nots,1982,Feb,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",557,0
556,Joint Misadventures,1989,Apr,Time,5,10.0,irrelevant,558,1
557,Just Say No,2009,Aug,Time,5,6.67,irrelevant,559,0
558,"Just you move over, 'Enry 'Iggins",1989,Apr,U.S. News & World Report,5,6.67,irrelevant,560,1
559,Kansas City doesn't just talk,1990,Feb,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),561,1
560,Keeping U.S. Jobs at Home,2004,May,Newsweek,4,10.0,"releconomy (employment, economy)",562,1
561,Key events and anniversaries of 1987,1986,Dec,U.S. News & World Report,5,6.67,irrelevant,563,1
562,Labor's agenda for the '90s,1990,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",564,1
563,Last-minute bust in Hamburg,1983,Nov,Time,5,6.67,irrelevant,565,0
564,Leader of the Freaked-Out World.,2011,Mar,Newsweek,4,6.67,"releconomy (employment, economy)",566,1
565,Learning to Think Smaller,1981,Sep,Time,2,10.0,"relinequality, implicit",567,1
566,Leaving 1980 on an upbeat,1981,Jan,Time,2,6.67,"relinequality, implicit",568,1
567,Left on the launch pad,2000,Feb,Newsweek,5,6.67,irrelevant,569,1
568,Lemons into loopholds,2000,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),570,1
569,"Lemons, But No Lehman Aid",2008,Sep,Newsweek,2,6.67,"relinequality, implicit",571,0
570,Less taxing ways of entertaining,1988,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),572,1
571,Lessons from the Rubble,2003,Sep,Time,5,10.0,irrelevant,573,1
572,Lessons of the spring elections,1993,Jun,U.S. News & World Report,1,10.0,"relinequality, explicit",574,0
573,Let The Horse Trading Begin,2005,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",575,1
574,Let's take risks again,1980,May,Newsweek,1,6.67,"relinequality, explicit",576,1
575,Liberating the Teamsters,1991,Dec,Newsweek,5,6.67,irrelevant,577,0
